fecha,mes,dia_año,temp_agua,oleaje,viento,lluvia,presion,coef_marea,fase_lunar,visibilidad_agua,dias_desde_temporal,temporada,veda_pulpo,veda_percebe,veda_lubina,captura_pulpo,captura_lubina,captura_percebe
2005-01-01,1,1,10.386635125784112,3.998673271317724,20.068728526955535,5.300546507253328,1012.4650774553708,96,13,turbia,5,invierno,False,False,False,0.5015408926299526,4.250867189665029,0.02047530343109338
2005-01-02,1,2,10.020639598607607,2.6266454269903594,13.500972124134226,2.1437593577471916,1027.117530617334,64,0,turbia,4,invierno,False,False,False,1.0391732907044344,12.657915549454135,0.7670924380626344
2005-01-03,1,3,10.508357435454386,0.984239902848083,18.4601490879464,0.24277102983928273,1019.7161019073782,51,11,limpia,8,invierno,False,False,False,3.2857991892593126,0.22224550326327053,0.06810260005246405
2005-01-04,1,4,11.050858163225396,1.2651517034462607,17.444933673221264,0.31000104532398887,1012.3730177382988,110,19,limpia,8,invierno,False,False,False,0.032136825824488936,13.40307428919737,2.4251326282733894
2005-01-05,1,5,10.014988839676795,6.678872312903673,22.99545117340375,0.635918146944375,1021.064268693921,89,27,turbia,9,invierno,False,False,False,0.019781935934599783,3.22454387417956,0.2784018256375519
2005-01-06,1,6,10.03457851946287,2.2586235644114416,11.13930758078073,1.8027829966402802,1018.652053975415,92,28,turbia,2,invierno,False,False,False,4.657721201453078e-07,2.1006007539926514,0.2729433023283094
2005-01-07,1,7,11.14330162412382,0.5684527458976365,11.249405030668889,2.795321184611854,1018.1684857373164,97,5,limpia,9,invierno,False,False,False,0.004896400231389722,0.14151939669473723,2.339611953638784
2005-01-08,1,8,10.678075287783175,0.7658479733487902,10.216522501507765,0.6417786089378826,1014.3887803420575,118,6,limpia,9,invierno,False,False,False,2.7531680094762243,0.1090424762592846,10.222747353065113
2005-01-09,1,9,9.958891136671447,1.6272340002911696,15.534090033021446,4.090343627596782,1017.1022542581924,106,10,limpia,1,invierno,False,False,False,0.04315718349728889,13.4680131393233,12.073492845163095
2005-01-10,1,10,10.590187110859878,0.9399448316966651,13.917682284161941,0.23122618586121735,1004.4852104970366,117,0,limpia,9,invierno,False,False,False,1.973010509342333,0.12468850409931842,10.402174365767058
2005-01-11,1,11,10.011782649995737,3.0223991505452377,12.218806170749954,0.4653758284760485,1021.5854470211102,61,2,turbia,3,invierno,False,False,False,0.22378240080849482,0.08252275002566595,0.1737056821444653
2005-01-12,1,12,10.036676996991307,4.814613400884317,14.737308302414599,7.0443532165429,997.8196880516599,117,21,turbia,8,invierno,False,False,False,0.7967891614904121,0.24400211713567288,0.47216133096606167
2005-01-13,1,13,10.488665410198285,1.9285741350536636,10.87143160017262,0.28946172045466806,1012.7893845298704,100,12,limpia,2,invierno,False,False,False,0.03378107296286478,8.3368928436942,4.039569298963137
2005-01-14,1,14,9.223976601994778,0.40728850514750237,21.1838177282917,4.380501441630279,1007.0214472340298,78,28,limpia,3,invierno,False,False,False,0.42143033275842345,2.415614025603973,0.10971092572032667
2005-01-15,1,15,9.366525821883208,2.860532862451285,12.203072097048942,2.4343530177170316,1012.4957442938423,78,5,turbia,1,invierno,False,False,False,0.00016501734093995918,0.4108458772931262,0.000949599031400347
2005-01-16,1,16,10.094702096617223,1.9638150786638877,12.715421305170237,0.1517913334841247,1014.6294136379395,62,9,limpia,0,invierno,False,False,False,0.9105687698898204,9.400131135262534,0.7456427143733072
2005-01-17,1,17,9.856031288025893,1.4742906936200648,5.452399834972169,1.3221610275926639,1009.016032330419,106,21,limpia,4,invierno,False,False,False,0.019427147611048023,0.8657708581696099,3.9405628765334946
2005-01-18,1,18,10.684981578980194,1.2502563541021223,8.417943869541778,1.4636901698854974,1001.1276137868037,95,6,limpia,3,invierno,False,False,False,0.056277366385422876,4.731864383261535,0.41013491827395393
2005-01-19,1,19,9.985360135768888,5.385933558232394,12.647835015402999,5.3806061762057915,1016.0353286207053,69,10,turbia,9,invierno,False,False,False,0.6174134953591012,0.029720306345464072,0.6948224881525493
2005-01-20,1,20,9.717561946095614,1.8832882158666246,13.77801874293343,1.0932669241494777,1025.4321989101395,108,22,limpia,1,invierno,False,False,False,0.002986908127118747,10.762661509071386,9.58055328377803
2005-01-21,1,21,11.480120895242822,0.9670134520782907,17.87752415349224,1.1839398206417362,1013.24359916575,85,27,limpia,5,invierno,False,False,False,0.029751293573636792,0.07495725972111454,0.4270500859883508
2005-01-22,1,22,10.502060597170166,2.6646845966527684,9.01758328823713,0.2386569066680765,1019.796654781129,50,25,turbia,4,invierno,False,False,False,0.011055933378227772,12.478587094001357,0.3281200733673875
2005-01-23,1,23,10.715834417349523,4.430773098430301,16.80868298916552,2.03871089999531,1022.5219241877844,52,14,turbia,0,invierno,False,False,False,4.362847549879208,0.28054512343629207,0.0504808027554465
2005-01-24,1,24,9.859244875062268,0.7844299929676686,17.496746343216348,0.47371678221606495,1005.499810377271,93,23,limpia,9,invierno,False,False,False,0.16095586607351642,1.4034068262764943,2.167496997992471
2005-01-25,1,25,10.427214129255447,4.759827054777661,17.707784497542406,0.16140791198474927,1012.7136242426084,104,10,turbia,2,invierno,False,False,False,0.049732890647408864,0.003079250431637535,0.8939013521723856
2005-01-26,1,26,10.861109201127213,0.5564199156838753,19.142639122506772,11.565002164690446,1008.618071941556,109,17,limpia,3,invierno,False,False,False,0.07261528207941102,0.31428739828039903,6.475986229061742
2005-01-27,1,27,10.14562122651951,2.2447731152857955,10.352319617845797,0.628407029095353,1010.9686148101092,52,25,turbia,0,invierno,False,False,False,0.4490579434431227,0.857726726968265,1.7372350300383461
2005-01-28,1,28,11.104235406724301,3.4206237159496347,17.1649246160432,0.3040965015955697,1023.5100585057331,112,0,turbia,7,invierno,False,False,False,3.942023676023364,0.534991681700833,0.2904517273302325
2005-01-29,1,29,10.561957478512968,1.0892304531074546,22.060643604957512,2.404550988458542,1016.118397432121,80,25,limpia,2,invierno,False,False,False,0.12227390434814833,5.8636005585059205,0.3772001683186103
2005-01-30,1,30,10.791760516209784,0.6655034591015061,20.6010792620525,3.4483753603264846,1018.9441180052258,110,13,limpia,4,invierno,False,False,False,0.21963779850058873,0.8512788499924657,4.977959345605803
2005-01-31,1,31,10.65108768187614,1.3953542407676394,22.567822847210547,0.1324451954672557,1014.7805044701811,98,28,limpia,2,invierno,False,False,False,0.017373907329639764,8.338347246434493,2.4275644660514732
